,family_history,know_resources,emp_mh_resources,mh_benefits,mh_with_coworkers,mh_with_supervisor,past_disorder,ph_or_mh_discuss,reveal_to_clients,mention_interview,share_with_f&f,num_employees,ever_diagnosed,identified,identifited_neg_consequences,medical_coverage,primarily_tech,primary_role_tech,self-employed,sought_treatment
117,No,I know some,No,Yes,Maybe,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
118,No,I know some,Yes,Yes,Maybe,Yes,Yes,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
119,Yes,I know some,Yes,Yes,Maybe,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
120,I don't know,I know some,No,I don't know,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
121,I don't know,I know some,Yes,No,Yes,Maybe,Yes,Physical health,Not applicable to me,Yes,,,,,,,,,,
122,Yes,I know some,Yes,Yes,Yes,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
123,Yes,I know some,No,No,Yes,No,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
124,Yes,I know some,Yes,Yes,Maybe,Maybe,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
125,Yes,I know some,No,Yes,Yes,Maybe,Yes,Same level of comfort for each,Not applicable to me,Yes,,,,,,,,,,
126,Yes,I know some,No,I don't know,No,Yes,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
127,Yes,I know some,Yes,Yes,Maybe,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
128,I don't know,I know some,Yes,Yes,No,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
129,Yes,I know some,I don't know,Yes,No,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
130,No,I know some,I don't know,Yes,Yes,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
131,I don't know,I know some,No,No,Maybe,Yes,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
132,No,I know some,Yes,No,Yes,Maybe,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
133,Yes,I know some,Yes,I don't know,Yes,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
134,No,"No, I don't know any",No,Yes,Maybe,Yes,Yes,Physical health,"Sometimes, if it comes up",Maybe,,,,,,,,,,
135,No,"No, I don't know any",No,Yes,Maybe,Yes,Yes,Physical health,"Sometimes, if it comes up",Maybe,,,,,,,,,,
136,I don't know,I know some,I don't know,No,No,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
137,I don't know,I know some,No,Yes,Maybe,Yes,Yes,Physical health,"No, because it would impact me negatively",No,,,,,,,,,,
138,No,I know some,No,I don't know,Maybe,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
139,I don't know,I know some,No,I don't know,Yes,No,Yes,Physical health,Not applicable to me,Yes,,,,,,,,,,
140,Yes,I know some,Yes,Yes,Yes,Yes,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
141,No,I know some,No,No,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,Yes,,,,,,,,,,
142,Yes,I know some,No,Yes,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
143,I don't know,I know some,I don't know,Yes,Maybe,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
144,Yes,I know some,Yes,I don't know,Yes,Yes,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
145,I don't know,I know some,I don't know,I don't know,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
146,No,"No, I don't know any",No,Yes,Maybe,Yes,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
147,Yes,I know some,No,Yes,Maybe,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
148,Yes,I know some,No,No,Maybe,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
149,I don't know,I know some,I don't know,Yes,No,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
150,Yes,I know some,No,Yes,No,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
151,Yes,I know some,No,I don't know,Yes,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
152,Yes,I know some,No,Yes,Maybe,Yes,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
153,I don't know,I know some,I don't know,Yes,Yes,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
154,I don't know,I know some,No,Yes,Yes,No,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
155,I don't know,I know some,No,Yes,Maybe,Maybe,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
156,Yes,I know some,I don't know,Yes,Yes,Maybe,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
157,Yes,"Yes, I know several",No,Yes,Maybe,Yes,Yes,Physical health,"Yes, always",No,,,,,,,,,,
158,I don't know,I know some,No,Yes,Maybe,Yes,Yes,Physical health,"Sometimes, if it comes up",No,,,,,,,,,,
159,No,I know some,No,I don't know,Maybe,Yes,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
160,I don't know,I know some,Yes,Yes,No,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
161,No,I know some,No,Yes,Maybe,Yes,Yes,Physical health,"Yes, always",No,,,,,,,,,,
162,No,I know some,No,No,No,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
163,Yes,I know some,I don't know,Yes,Maybe,Maybe,Yes,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
164,No,"Yes, I know several",No,Yes,Maybe,Yes,Yes,Physical health,"Sometimes, if it comes up",Maybe,,,,,,,,,,
165,I don't know,I know some,I don't know,I don't know,Maybe,Maybe,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
166,I don't know,I know some,Yes,Yes,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
167,Yes,I know some,No,Yes,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
168,No,I know some,No,Yes,Maybe,Yes,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
169,Yes,I know some,Yes,Not eligible for coverage / NA,Maybe,Maybe,Yes,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
170,Yes,I know some,No,I don't know,No,No,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
171,I don't know,"No, I don't know any",No,Yes,Maybe,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
172,Yes,I know some,No,No,Maybe,Yes,Yes,Mental health,Not applicable to me,No,,,,,,,,,,
173,No,I know some,No,Yes,Maybe,Yes,Yes,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
174,I don't know,I know some,Yes,Yes,Maybe,Yes,Yes,Mental health,Not applicable to me,Maybe,,,,,,,,,,
175,Yes,I know some,I don't know,I don't know,Maybe,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
176,I don't know,I know some,No,I don't know,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
177,Yes,"Yes, I know several",No,Yes,Maybe,Yes,Yes,Physical health,"No, because it doesn't matter",Maybe,,,,,,,,,,
178,No,I know some,No,I don't know,Yes,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
179,No,I know some,No,No,Maybe,No,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
180,Yes,I know some,No,I don't know,Maybe,Yes,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
181,No,I know some,I don't know,Yes,Maybe,Yes,Yes,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
182,No,"No, I don't know any",No,Yes,Maybe,Yes,Yes,Physical health,"No, because it doesn't matter",No,,,,,,,,,,
183,No,I know some,No,Not eligible for coverage / NA,Maybe,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
184,No,I know some,No,No,No,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
185,No,I know some,No,Yes,Maybe,Yes,Yes,Physical health,"No, because it would impact me negatively",No,,,,,,,,,,
186,No,I know some,No,Yes,Maybe,Yes,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
187,Yes,I know some,No,Yes,Maybe,Yes,Yes,Physical health,"No, because it would impact me negatively",No,,,,,,,,,,
188,Yes,"No, I don't know any",No,Yes,Maybe,Yes,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
189,No,"Yes, I know several",No,Yes,Maybe,Yes,Yes,Physical health,"No, because it would impact me negatively",No,,,,,,,,,,
190,No,I know some,No,I don't know,No,No,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
191,No,I know some,No,Yes,No,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
192,I don't know,I know some,Yes,I don't know,Maybe,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
193,Yes,I know some,I don't know,Yes,Maybe,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
194,I don't know,I know some,Yes,Yes,Maybe,Maybe,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
195,I don't know,I know some,No,Yes,Yes,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
196,Yes,I know some,No,I don't know,No,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
197,Yes,I know some,Yes,Yes,Yes,No,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
198,Yes,I know some,Yes,Yes,Maybe,Yes,Yes,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
199,Yes,I know some,No,Yes,No,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
200,I don't know,I know some,I don't know,Yes,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
201,Yes,"No, I don't know any",No,Yes,Maybe,Yes,Yes,Physical health,"No, because it doesn't matter",Maybe,,,,,,,,,,
202,Yes,I know some,Yes,Yes,Maybe,Yes,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
203,Yes,I know some,No,Yes,Maybe,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
204,No,I know some,No,Yes,Maybe,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
205,Yes,I know some,Yes,I don't know,Maybe,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
206,Yes,I know some,No,Yes,Yes,Maybe,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
207,No,I know some,Yes,Yes,Maybe,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
208,Yes,"No, I don't know any",No,Yes,Maybe,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
209,Yes,I know some,I don't know,I don't know,No,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
210,Yes,I know some,I don't know,I don't know,No,Yes,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
211,Yes,I know some,No,Yes,No,Yes,Yes,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
212,No,I know some,I don't know,No,Maybe,Yes,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
213,I don't know,I know some,No,No,Yes,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
214,No,I know some,No,No,Maybe,Maybe,Yes,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
215,Yes,I know some,No,No,Yes,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
216,No,I know some,No,No,Yes,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
217,No,I know some,No,No,Yes,Yes,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
218,Yes,I know some,Yes,Yes,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,Yes,,,,,,,,,,
219,Yes,I know some,Yes,Yes,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
220,Yes,I know some,Yes,Yes,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
221,No,I know some,Yes,Yes,Yes,Yes,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
222,Yes,I know some,Yes,Yes,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
223,Yes,I know some,Yes,Yes,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
224,No,I know some,Yes,Yes,Maybe,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
225,I don't know,"No, I don't know any",No,Yes,Maybe,Yes,Yes,Physical health,"Sometimes, if it comes up",No,,,,,,,,,,
226,Yes,I know some,Yes,Yes,No,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
227,I don't know,I know some,No,I don't know,Maybe,Maybe,Yes,Same level of comfort for each,Not applicable to me,Maybe,,,,,,,,,,
228,I don't know,I know some,I don't know,I don't know,Maybe,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
229,Yes,I know some,No,No,No,No,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
230,I don't know,I know some,I don't know,I don't know,Maybe,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
231,Yes,I know some,I don't know,Yes,No,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
232,Yes,I know some,No,Yes,Yes,No,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
233,Yes,I know some,I don't know,Yes,Maybe,Maybe,Yes,Physical health,Not applicable to me,No,,,,,,,,,,
234,Yes,I know some,Yes,Yes,Yes,Maybe,Yes,Physical health,Not applicable to me,Maybe,,,,,,,,,,
235,I don't know,I know some,No,Yes,No,No,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
236,Yes,I know some,No,Yes,Maybe,Yes,Yes,Physical health,"No, because it would impact me negatively",No,,,,,,,,,,
237,Yes,I know some,No,No,Yes,Yes,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
238,I don't know,I know some,No,I don't know,Yes,Maybe,Yes,Same level of comfort for each,Not applicable to me,No,,,,,,,,,,
